x,y,z
-0.03941716253757477,4.8202619552612305,3.0053277015686035
-0.04610632359981537,4.806135177612305,2.757190465927124
-0.06081255525350571,4.787387371063232,2.5138118267059326
-0.08291229605674744,4.764376640319824,2.275306224822998
-0.1117827445268631,4.737461090087891,2.0417861938476562
-0.14680109918117523,4.706998348236084,1.813364028930664
-0.18734455108642578,4.673346996307373,1.5901522636413574
-0.2327902913093567,4.636864185333252,1.3722633123397827
-0.2825155258178711,4.5979084968566895,1.1598097085952759
-0.33589744567871094,4.556837558746338,0.9529037475585938
-0.39231324195861816,4.51400899887085,0.7516579627990723
-0.4511401057243347,4.469781398773193,0.5561848282814026
-0.5117552280426025,4.4245123863220215,0.3665967285633087
-0.5735358595848083,4.378559589385986,0.18300612270832062
-0.6358591318130493,4.332281112670898,0.005525454878807068
-0.6981022357940674,4.286035060882568,-0.16573283076286316
-0.7596424221992493,4.240179061889648,-0.3306562900543213
-0.8198568224906921,4.195071220397949,-0.48913249373435974
-0.8781226873397827,4.151069641113281,-0.6410489678382874
-0.9338172078132629,4.108531951904297,-0.7862932682037354
-0.9863175749778748,4.067816257476807,-0.9247530102729797
-1.0350009202957153,4.029280662536621,-1.0563156604766846
-1.0792444944381714,3.9932825565338135,-1.1808688640594482
-1.1184254884719849,3.9601802825927734,-1.2983001470565796
-1.1519211530685425,3.9303317070007324,-1.4084969758987427
-1.1791086196899414,3.904094696044922,-1.5113470554351807
-1.1993650197982788,3.8818271160125732,-1.6067378520965576
-1.212067723274231,3.863886833190918,-1.6945569515228271
-1.2165937423706055,3.8506319522857666,-1.7746918201446533
-1.2123204469680786,3.8424203395843506,-1.8470300436019897
-1.198624849319458,3.8396098613739014,-1.91145920753479
-1.177357792854309,3.8384101390838623,-1.9702422618865967
-1.151012897491455,3.8348937034606934,-2.025794267654419
-1.1199287176132202,3.829212188720703,-2.078230142593384
-1.084444522857666,3.8215177059173584,-2.127664804458618
-1.044899344444275,3.811962127685547,-2.174213409423828
-1.0016324520111084,3.8006973266601562,-2.2179908752441406
-0.954983115196228,3.7878754138946533,-2.2591121196746826
-0.905290424823761,3.773648262023926,-2.29769229888916
-0.852893590927124,3.7581677436828613,-2.3338465690612793
-0.7981317639350891,3.7415857315063477,-2.367689609527588
-0.741344153881073,3.7240543365478516,-2.399336576461792
-0.6828699707984924,3.70572566986084,-2.4289026260375977
-0.6230483651161194,3.686751365661621,-2.456502676010132
-0.5622184872627258,3.667283535003662,-2.4822518825531006
-0.5007196068763733,3.6474740505218506,-2.506265163421631
-0.43889081478118896,3.627474784851074,-2.5286574363708496
-0.3770713806152344,3.6074378490448,-2.549543857574463
-0.3156004548072815,3.587515115737915,-2.5690393447875977
